START LOG
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
 [SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
[SAMPLE] Pkt Len: 50 | Data[0]: 4d | State: 0
START LOG
Loading pattern: admin with ID 1

Loading pattern: password with ID 2

Loading pattern: /etc/passwd with ID 3

Loading pattern: eval( with ID 4

Loading pattern: SELECT * with ID 5

Loading pattern: MATCH with ID 6

Loading pattern: A with ID 7

LOADED PATTERNS -- Total Trie States: 7
DEBUG: Trie loaded with 44 states
DEBUG: Transition for 'M' (0x4d) from root 38
[SAMPLE] Pkt Len: 1800 | Data[0]: 61 | State: 0
